id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
ga-barkisssimo,"Stay for Two on the Private Yacht Barkissimo in Suisun City, CA",Private Yacht Near Napa Valley,Private Yacht Near Napa Valley,open,groupon,featured,2017-05-11T06:59:59Z,2017-04-13T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Accommodation type,Hotel,barkisssimo,Barkissimo - Classic Yacht Hotel,http://www.barkissimo.com,,"Suisun City, CA",600 Solano Street,,CA,Suisun City,Hiddenbrooke,94585,US
gg-alpine-swiss-cotton-dress-socks-6-pack,Alpine Swiss Cotton Dress Socks (6-Pack),Alpine Swiss Cotton Dress Socks (6-Pack),Alpine Swiss Socks (6-Pack),open,groupon,featured,2017-06-29T06:59:59Z,2017-04-13T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Undergarments,Underwear / Socks / Hosiery,gfx-marketing-corp,Alpine Swiss Cotton Dress Socks (6-Pack),,,,,,,,,,
precision-tune-auto-care-6-loc-s-santa-cruz,One Maintenance Package with Oil Change and Tire Rotation at Precision Tune Auto Care (Up to 75% Off) ,Up to 75% Off Auto Maintenance Package with Oil Change,Auto Maintenance Package,open,groupon,extended,2039-05-04T06:59:59Z,2014-12-29T08:00:00Z,santa-cruz,Santa Cruz / Monterey,36.9741,-122.031,Automotive Oil Change,Car & Automotive,precision-tune-auto-care-jim-barger,Precision Tune Auto Care,http://www.precisiontune.com/,120,Morgan Hill,16860 Monterey Rd.,,CA,Morgan Hill,Morgan Hill,95037,US
bottle-bottega-sw-san-jose,Two-and-a-Half Hour Painting Party for One or Two from Bottle & Bottega San Jose (Up to 31% Off) ,Up to 31% Off Painting Parties,Painting Party,open,groupon,extended,2039-02-26T07:59:59Z,2014-10-23T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Party,Painting Party,bottle-and-bottega,Bottle & Bottega - SW San Jose,http://bottleandbottega.com/sw-sanjose/,120,Bottle & Bottega - SW San Jose,2125 South Winchester Boulevard,Ste 110,CA,Campbell,Campbell,95008,US
gg-ijoy-virtual-reality-universal-glasses-1,iJoy Universal Virtual Reality Glasses for Smartphones (1- or 2-Pack),iJoy Universal Virtual Reality Glasses for Smartphones (1- or 2-Pack),iJoy Virtual Reality Glasses,open,groupon,featured,2017-05-27T06:59:59Z,2017-04-13T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Communications,Communication Electronics,quest-usa-corp,iJoy Universal Virtual Reality Glasses for Smartphones (1- or 2-Pack),,,,,,,,,,
jerusalem-grill-3,Mediterranean Buffet for Two or Four or More at Jerusalem Grill (Up to 31% Off),Up to 31% Off at Jerusalem Grill,Mediterranean Buffet,open,groupon,extended,2041-08-11T06:59:59Z,2017-04-07T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Middle Eastern Cuisine,,jerusalem-grill-and-bar,Jerusalem Grill,http://www.jerusalemgrillbar.com,120,Central Campbell,1740 Winchester Boulevard,,CA,Campbell,Central Campbell,95008,US
california-academy-of-sciences,"Adult, Child, or Youth or Senior General Admission at California Academy of Sciences  ",California Academy of Sciences,Science Museum Admission,open,groupon,extended,2039-05-23T06:59:59Z,2015-01-14T08:00:00Z,los-angeles,Los Angeles,34.0522,-118.243,Cultural Attractions,Museum,california-academy-of-sciences,California Academy of Sciences,https://www.calacademy.org/,90,Golden Gate Park,55 Music Concourse Drive,,CA,San Francisco,Golden Gate Park,94118,US
hip-hop-run-and-music-festival-5,Registration for the Missoula Hip Hop Run and Music Festival (Up to 51% Off),Up to 51% Off Missoula Hip Hop Run and Music Festival,Hip Hop Run and Music Festival,open,groupon,featured,2017-04-17T06:59:59Z,2017-04-13T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Races & Runs,Running - Recreational,hip-hop-run-music-festival,Hip Hop Run and Music Festival,http://www.hiphoprun.com/,,Riverfront,700 Cregg Lane,,MT,Missoula,Riverfront,59801,US
ga-bk-habitat-residence-condo-hotel-5,"Stay at Habitat Residence Condo Hotel in Miami, FL, with Dates into September",Luxe Condos in Miami's Brickell Neighborhood,Spacious Condos in Miami,open,groupon,featured,2017-05-04T03:59:59Z,2017-04-13T04:00:00Z,miami,Miami,25.7743,-80.1903,Hotel - Beach,Accommodation type,habitat-residence-condo-hotel,Habitat Residence Condo Hotel,http://habitatresidence.com/site2/,,"Miami, FL",1700 SW 2nd. Ave,,FL,Miami,Brickell,33129,US
canvas-on-demand-129-san-jose,One or Two 16”x20” Gallery-Wrapped Canvas Prints from Canvas On Demand (Up to 79% Off). Free Shipping.,"Canvas Prints Available in Size 16""x20""",Gallery-Wrapped Canvas Prints,open,groupon,extended,2038-07-31T06:59:59Z,2014-03-27T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Photo Printing,Hobbies & Creative Arts,canvas-on-demand,Canvas On Demand,http://www.canvasondemand.com,30,,,,,,,,
