id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
moon-indian-cuisine,Indian Cuisine at Moon Indian Cuisine (Up to 40% Off). Three Options Available.,Up to 40% Off Indian Cuisine at Moon Indian Cuisine,Indian Cuisine ,open,groupon,extended,2041-08-10T06:59:59Z,2017-04-06T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Indian Cuisine,South Asian Cuisine,moon-indian-cuisine,Moon Indian Cuisine,http://www.moonindiancuisinehayward.com/,120,Hayward,600 West Harder Road,,CA,Hayward,Harder-Tennyson,94544,US
quattro-restaurant-and-bar,Four-Course Italian Dinner for Two or Four at Quattro Restaurant and Bar (Up to 33% Off),Up to 33% Off at Quattro Restaurant and Bar,Four-Course Italian Dinner,open,groupon,extended,2040-12-09T07:59:59Z,2016-08-05T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Italian Cuisine,,quattro-2,Quattro Restaurant and Bar,http://www.quattrorestaurant.com/,90,Four Seasons Hotel Silicon Valley,2050 University Avenue,,CA,East Palo Alto,Woodland Place,94303,US
munchery-6-san-jose,Healthy Chef-Prepared Meals Delivered from Munchery  (50% Off). Two Options Available. First Time Users Only.,50% Off Chef-Prepared Meals Delivered from Munchery ,Chef-Prepared Meals Delivered,open,groupon,extended,2041-01-02T07:59:59Z,2016-08-29T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Subscriptions,Food - Prepared Subscription,munchery,Munchery,https://munchery.com/signup-page?t=ig3552&a=0nogv4&d=hvwli7&o=groupon&utm_medium=cpc&utm_source=groupon&utm_campaign=UA_XX_XX_X_XX_X_XXX_XXX_XX_RTE&utm_content=UA_XX_XX_X_XX_X_XXX_XXX_XX_RTE&utm_term=UA_XX_XX_X_XX_X_XXX_XXX_XX_RTE_ig3552_0nogv4_hvwli7,90,,,,,,,,
mailpix-318,"One, Two, or Three Personalized Reusable Grocery Bags from MailPix (Up to 56% Off). Free Shipping.",Up to 56% Off Personalized Reusable Grocery Bags,Custom Reusable Grocery Bags,open,groupon,extended,2039-10-22T06:59:59Z,2015-06-18T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Customizables,Customizable Food and Drink,mail-pix,MailPix,http://www.mailpix.com,60,,,,,,,,
mexicali-grill-santa-clara-5,Mexican Cuisine at Mexicali Grill (Up to 38% Off).Two Options Available.,Up to 38% Off at Mexicali Grill,Mexican Cuisine,open,groupon,extended,2041-03-22T06:59:59Z,2016-11-16T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Caribbean & Latin American Cuisine,Latin American Cuisine,mexicali-grill,Mexicali Grill,http://www.mexicaligrill.com/,120,Lakewood,3149 Mission College Blvd,,CA,Santa Clara,Lakewood,95054,US
beer-of-the-month-club-143-san-jose,"Beer of the Month Club Subscription for 2-, 3-, 6-, or 12-Months","2-, 3-, 6-, or 12-Month Subscription to Beer of the Month Club",Beer of the Month Subscription,open,groupon,extended,2040-10-06T06:59:59Z,2016-06-01T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Beer Club Membership / Subscription,Subscriptions,clubs-of-america-1,Beer of the Month Club,http://greatclubs.com,180,,,,,,,,
krispy-kreme-doughnuts-san-francisco-10,Original Glazed Doughnuts and Drinks at Krispy Kreme - Bay Area (Up to 51% Off). Three Options Available.,Up to 51% Off at Krispy Kreme - Six Bay Area Locations,Krispy Kreme Doughnuts,open,groupon,extended,2041-04-04T06:59:59Z,2016-11-29T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Donut / Doughnut (Bakery & Dessert Parlor),Bakery & Desserts,golden-gate-doughnuts,Krispy Kreme,https://www.facebook.com/KKSanFranciscoBay/,180,Mountain View,2146 Leghorn St,,CA,Mountain View,Monta Loma-Farley-Rock,94043,US
the-carnivore-club-1-7-san-jose,Premium Meat Crate and $15 Credit from Carnivore Club (Up to 43% Off) ,Up to 43% Off Charcuterie Box from Carnivore Club ,Charcuterie Box,open,groupon,extended,2040-03-29T06:59:59Z,2015-11-24T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Food - Produce Box Subscription,Subscriptions,the-carnivore-club,Carnivore Club,https://www.carnivoreclub.co/,90,,,,,,,,
keurig,"K-Cup® pods, brewers, and accessories from Keurig.com (Up to 31% Off). Two Options Available. ","Keurig.com – Up to 31% Off K-Cup® pods, brewers, & accessories",Keurig brewers and K-Cup® pods,open,groupon,extended,2017-05-29T09:59:59Z,2017-04-06T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Coffee / Tea Supplies (Retail),Groceries,keurig,Keurig.com,http://www.keurig.com/,,,,,,,,,
bubbly,Bubble Tea at Bubbly (Up to 38% Off),Up to 38% Off Bubble Tea at Bubbly,Bubble Tea,open,groupon,extended,2041-08-10T06:59:59Z,2017-04-06T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Caf̩e / Bar Offerings,Bubble Tea,bubbly,Bubbly,,120,Edge,1816 Tully Road Suite 166,,CA,San Jose,Edge,95122,US
