id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
xcapade,"Room-Escape Game for Two, Four, Six, or Eight at Xcapade Entertainment (Up to 45% Off)  ",Up to 45% Off Room-Escape Game at Xcapade,Room-Escape Game,open,groupon,extended,2040-03-03T07:59:59Z,2015-10-29T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Gaming,Room Escape Game,xcapade,Xcapade,http://www.xcapade.co/,360,Hayward,1019 B Street,,CA,Hayward,Downtown Hayward,94541,US
dennis-mitchell-golf,One-Hour Golf Lesson for One or Two at Dennis Mitchell Golf (Up to 58% Off),Up to 58% Off Golf Lesson,Golf Lesson,open,groupon,extended,2038-04-11T07:59:59Z,2013-12-06T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Golf - Training,Courses - Sports Training,dennis-mitchell-golf,Dennis Mitchell Golf,http://www.burlingamegolfcenter.com,180,Burlingame,250 Anza Boulevard,,CA,Burlingame,Burlingame,94010,US
vino-artist-1,"Painting Class with Complimentary Wine and Snacks for One, Two, or Four at Vino Artist (Up to 57% Off)",Up to 57% Off Painting Class with Free Wine & Snacks,Art Class with Wine and Snacks,open,groupon,extended,2039-04-24T06:59:59Z,2014-12-19T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Courses - Entertainment Media / Arts,Painting Lesson,vino-artist,Vino Artist,http://www.vinoartist.com,120,Santa Clara,3777 Stevens Creek Blvd,,CA,Santa Clara,Santa Clara,95051,US
aperture-academy-5,Intro to Photography at Aperture Academy (Up to 59% Off)  ,Up to 59% Off Photography Class  ,Photography Class,open,groupon,extended,2037-09-14T06:59:59Z,2013-05-10T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Courses - Entertainment Media / Arts,Photography Class,aperture-academy,Aperture Academy,http://www.apertureacademy.com/,90,North San Jose,2290 N. 1st St,Suite 102,CA,San Jose,North San Jose,95131,US
san-jose-batting-cages-5,Batting Cage Practice with Optional Lesson at San Jose Batting Cages (Up to 67% Off). Four Options Available. ,Up to 67% Off at San Jose Batting Cages,Batting Cage Practice ,open,groupon,extended,2040-05-18T06:59:59Z,2016-01-13T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Sports & Related,Batting Cages (Activity / Experience),san-jose-batting-cages,San Jose Batting Cages,http://www.sjbattingcages.com/,120,South San Jose,474 Piercy Rd,,CA,San Jose,Edenvale,95138,US
umigo-indoor-kart-racing-6,Weekday Race Sessions for One or Two at Umigo Indoor Go-Kart Racing (Up to 51% Off) ,Up to 51% Off at Umigo Indoor Kart Racing,Indoor Go-Karting Packages,open,groupon,extended,2041-06-18T06:59:59Z,2017-02-12T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Karting,Go-Kart Racing (Ride / Experience),umigo-indoor-kart-racing,Umigo Indoor Kart Racing,http://www.umigoracing.com/Pages/default.aspx,90,Livermore,6538 Patterson Pass Rd.,,CA,Livermore,Ulmar,94550,US
adventure-hunt-19,"Registration For Two People to Adventure Hunt Sacramento, San Jose, or Fresno On May 20, 2017 (Up to 50% Off)",Up to 50% Off admission to Adventure Hunt,Adventure Hunt,open,groupon,extended,2017-05-20T07:00:00Z,2017-02-22T08:00:00Z,fresno,Fresno,36.7477,-119.772,Tour,Scavenger Hunt Tour / Activity,adventure-hunt,Adventure Hunt,https://adventurehunt.co/,,,,,,,,,
rancho-del-pueblo-golf-course,9-Hole Round of Golf for One or Two with Range Balls at Rancho del Pueblo Golf Course (Up to 44% Off) ,Up to 44% Off at Rancho del Pueblo Golf Course,Rancho del Pueblo Golf Course,open,groupon,extended,2038-10-13T06:59:59Z,2014-06-09T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Sports & Related,Golf - Recreational,rancho-del-pueblo-golf-course,Rancho del Pueblo Golf Course,http://www.ranchodelpueblo.com/,90,Thunderbird,1649 Hermocilla Way,,CA,San Jose,Thunderbird,95116,US
cpaa-arts-center-1,Group or Private Ballroom Dancing Classes at Chinese Performing Arts of America (Up to 70% Off). Three Options.,Up to 70% Off Ballroom Dancing Classes,Ballroom Dancing Classes,open,groupon,extended,2041-03-30T06:59:59Z,2016-11-24T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Dance Class,Courses - Sports Training,cpaa-arts-center,Chinese Performing Arts of America,http://www.cpaasv.org/,120,Joaquin Miller,6148 Bollinger Road,,CA,San Jose,Joaquin Miller,95129,US
sonoma-valley-balloons-18,$179 for a Hot Air Balloon Ride with Champagne Toast from Sonoma Valley Balloons ($360 Value),Half Off Hot Air Balloon Ride with Champagne Toast,Hot Air Balloon Ride,open,groupon,extended,2037-07-26T06:59:59Z,2013-03-21T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Flying,Hot Air Balloon (Ride / Experience),sonoma-valley-balloons,Sonoma Valley Balloons,http://sonomavalleyballoons.com/SonomaValleyBalloons.com/Welcome.html,120,Santa Rosa,269 Aviation Blvd.,,CA,Santa Rosa,Santa Rosa,95403,US
